Account Name,Account ID,Campaign Name,Campaign ID,Campaign Status,Campaign Bid,Campaign Bidding Strategy,Campaign Start Date,Conversion Goal,Ad ID,Ad Title,Ad Description,Day,Ad Status,Country,Site,Site URL,Site ID,Currency,Inventory Type,Country Code,Campaign Budget Type,Spending Limit,Campaign Budget,Spending Limit Type,Actual CPA,Actual CPC,Clicks,Conversion Rate,Conversions,Conversions Value,CPM,CTR,Impressions,ROAS,Served Ads,Spent
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Discover Lens,discover-lens.com,1895989,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,4,0.00%,12,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Elandorderstarti,elandorderstarti.com,1922348,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,322,0.00%,"2,615",0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Explore Scout,explore-scout.com,1895993,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,13,0.00%,30,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Find Search Quickly,findnsearch-quickly.com,1895996,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,11,0.00%,57,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Finder Finders,finderfinders.com,1895942,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,26,0.00%,97,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Finder Lookup,finderlookup.com,1895941,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,9,0.00%,40,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Finder Searching,findersearching.com,1895945,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,13,0.00%,56,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Finders Finder,findersfinder.com,1895988,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,30,0.00%,115,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Finders Looking Up,finderslookingup.com,1895986,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,3,0.00%,21,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Finders Searcher,finderssearcher.com,1895955,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,15,0.00%,84,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Finding Finders,findingfinders.com,1895939,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,9,0.00%,59,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Finding Searcher,findingsearcher.com,1895987,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,1,0.00%,10,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Havingartisticta,havingartisticta.com,1922352,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,248,0.00%,"1,606",0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Iewsinterfumesc,iewsinterfumesc.com,1922347,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,34,0.00%,242,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Looking up Finders,lookingupfinders.com,1895982,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,2,0.00%,27,0.00
